temp_id,title,pubmed_id,journal,year,url,abstract
13,Psychometric Limitations of the Center for Epidemiologic Studies-Depression Scale for Assessing Depressive Symptoms among Adults with HIV/AIDS: A Rasch Analysis.,27042347,Depression research and treatment. Volume: 2016 2016,2016,http://www.ncbi.nlm.nih.gov/pubmed/27042347/,"The Center for Epidemiological Studies-Depression (CES-D) scale is a widely used measure of depressive symptoms, but its psychometric properties have not been adequately evaluated among adults with HIV/AIDS. This study used an item response theory approach (Rasch analysis) to evaluate the CES-D's validity and reliability in relation to key demographic and clinical variables in adults with HIV/AIDS. A convenience sample of 347 adults with HIV/AIDS (231 males, 93 females, and 23 transgenders; age range 22-77 years) completed the CES-D. A Rasch model application was used to analyze the CES-D's rating scale functioning, internal scale validity, person-response validity, person-separation validity, internal consistency, differential item functioning (DIF), and differential test functioning. CES-D scores were generally high and associated with several demographic and clinical variables. The CES-D distinguished 3 distinct levels of depression and had acceptable internal consistency but lacked unidimensionality, five items demonstrated poor fit to the model, 15% of the respondents demonstrated poor fit, and eight items demonstrated DIF related to gender, race, or AIDS diagnosis. Removal of misfitting items resulted in minimal improvement in the CES-D's substantive and structural validity. CES-D scores should be interpreted with caution in adults with HIV/AIDS, particularly when comparing scores across gender and racial groups. "
14,Investigations of a novel process to the framework of benzo[c]cinnoline.,15498002,The Journal of organic chemistry. Volume: 69 Issue: 22 Oct 29 2004,2004,http://www.ncbi.nlm.nih.gov/pubmed/15498002/,"A novel synthetic process leading to the framework of benzo[c]cinnoline has been discovered and investigated. The process is composed of two separate reactions, the first of which is a partial reduction of the nitro groups of the 2,2'-dinitrobiphenyl, a process that we believe proceeds via a SET mechanism to yield the hydroxyamino and nitroso groups. In the following step the cyclization takes place under formation of the -N=N- bond. We believe that this process take place via a radical mechanism through the nitroso radical anion. The novel process affords either benzo[c]cinnoline or benzo[c]cinnoline N-oxide, both in high yields, 93% and 91%, respectively. To obtain benzo[c]cinnoline, the reaction is conducted with an alcohol as solvent and an alkoxide as the base, while for benzo[c]cinnoline N-oxide, water is used as solvent with sodium hydroxide as the base. To establish the latter procedure, statistical experimental design and multivariate modeling were utilized to reveal the response surface for the reaction and to determine the optimal conditions for the reaction. A proposal for the complex reaction mechanism is given. During the corroboration of the mechanism, a new deoxygenation reaction for converting benzo[c]cinnoline N-oxide into benzo[c]cinnoline was discovered. The reaction is conducted by treating the N-oxide with sodium ethoxide at elevated temperature to achieve near-quantitative conversion into benzo[c]cinnoline in a yield of 96%."
15,High doses of laser phototherapy can increase proliferation in melanoma stromal connective tissue.,29623521,Lasers in medical science. Volume: 33 Issue: 6 Aug 2018,2018,http://www.ncbi.nlm.nih.gov/pubmed/29623521/,"It is well established that laser phototherapy (LP) is contraindicated directly over cancer cells, due to its bio modulatory effects in cell and blood vessel proliferation. The aim of the present study was to analyze the influence of typical low-level laser therapy (LLLT) and high intensity laser therapy (HILT) and an in-between dose of 9 J on collagen fibers and blood vessels content in melanoma tumors (B16F10) implanted in mice. Melanoma tumor cells were injected in male Balb C mice which were distributed in four groups: control (no irradiated) or irradiated by 3, 9, or 21 J (150; 450, or 1050 J/cm2). LP was performed in daily sessions for 3 days with a InGaAlP-660 nm (mean output: 50 mW, spot size: 2 mm2). Tumor volume was analyzed using (1) picrosirius staining to quantify collagen fibers content and (2) Verhoeff's method to quantify blood vessels content. Tumor growth outcome measured in the 3-J group was not significantly different from controls. Nine and 21-J groups, presented significant and dose-dependent increases in tumor volume. Quantitative analysis of the intensity of collagen fibers and their organization in stroma and peri-tumoral microenvironment showed significant differences between irradiated and control group. Blood vessels count of 21-J group outnumbered the other groups. High doses (≥ 9 J) of LP showed a dose-dependent tumor growth, different collagen fibers characteristics, and eventually blood vessel growth, while a typical LLLT dose (3 J) appeared harmless on melanoma cell activity."
16,Spatio-temporal variability of richness estimators: coastal marine fish communities as examples.,15800740,Oecologia. Volume: 144 Issue: 2 Jun 2005,2005,http://www.ncbi.nlm.nih.gov/pubmed/15800740/,"We assessed the performance of two estimators of species richness, the Chao2 and the Coleman 'random placement curve'. Using a dataset of intertidal fish from the Norwegian Skagerrak coast, we found that Chao2 was effective for low sampling intensity, often reaching asymptotic values for few samples, but for higher sampling intensity the performance deteriorated. For large samples, the Coleman random placement curve was more effective than the Chao2 estimates when comparing spatio-temporal patterns of species richness. Spatial patterns were clearly and consistently identified by both methods, whereas the coastal fish communities displayed too much variability in the early summer for any sensible measure of temporal patterns of fish-species richness to be made. To control for spurious results due to systematic differences in mean abundance of the samples the analyses were performed also on data standardised by the number of individuals in the samples, without any significant change in the results. We conclude that modest sampling effort is sufficient to characterise spatial patterns of coastal fish-species richness, while a detailed and high-precision description of seasonal patterns could not be obtained with any reasonable sampling effort."
17,Assessment of two self-reporting questionnaires for eating disorders in women.,12762620,Eating and weight disorders : EWD. Volume: 8 Issue: 1 Mar 2003,2003,http://www.ncbi.nlm.nih.gov/pubmed/12762620/,"The goals of this study were to evaluate how well the Eating Disorder Inventory (EDI) predicted specific eating disorders as identified by the Survey of Eating Disorders (SED), and to identify the most predictive EDI scales. An additional goal was to evaluate the EDI as a screening instrument for eating disorders among a large non-clinical group of women."
18,Inherited primary failure of eruption in the primary dentition: report of five cases.,9096818,ASDC journal of dentistry for children. Volume: 64 Issue: 1,,http://www.ncbi.nlm.nih.gov/pubmed/9096818/,"Unerupted primary teeth are a rare event and in most cases involve the second primary molars. The impaction may be primary, meaning that the teeth never have been erupted (also called primary failure of eruption), or it may be secondary, meaning that the teeth after eruption are reimpacted. The present report describes five cases (three boys and two girls) with primary failure of eruption of totally fourteen second primary molars. None of these teeth ever erupted and were removed surgically at an age of 10-11 yrs. Additionally, in all five cases the eruption of the entire permanent dentition was severely retarded. Consequences of the nonerupting primary molars put a more functional strain, with severe attrition, on the remaining teeth. The unerupted primary molars also seemed to prevent the development of the corresponding premolars. In addition the impacted primary molars were in some cases a threat to the eruption of first permanent molars. The etiology of the present primary failure of eruption seems to be inheritance, and the mode of transmission is judged to be autosomal dominant."
19,Ligand Noninnocence in Coinage Metal Corroles: A Silver Knife-Edge.,26345592,"Chemistry (Weinheim an der Bergstrasse, Germany). Volume: 21 Issue: 47 Nov 16 2015",2015,http://www.ncbi.nlm.nih.gov/pubmed/26345592/,"A silver β-octabromo-meso-triarylcorrole has been found to exhibit a strongly saddled geometry, providing the first instance of a strongly saddled corrole complex involving a metal other than copper. The Soret maxima of the Ag octabromocorroles also redshift markedly in response to increasingly electron-donating para substituents on the meso-aryl groups. In both these respects, the Ag octabromocorroles differ from simple Ag triarylcorrole derivatives, which exhibit only mild saddling and substituent-insensitive Soret maxima. These results have been rationalized in terms of an innocent M(III)-corrole(3-) description for the simple Ag corroles and a noninnocent M(II)-corrole(·2-) description for the Ag octabromocorroles. In contrast, all copper corroles are thought to be noninnocent, while all gold corroles are innocent. Uniquely among metallocorroles, silver corroles thus seem poised on a knife-edge, so to speak, between innocent and noninnocent electronic structures and may tip either way, depending on the exact nature of the corrole ligand."
20,Benefit of a stroke unit: a randomized controlled trial.,1866749,Stroke. Volume: 22 Issue: 8 Aug 1991,1991,http://www.ncbi.nlm.nih.gov/pubmed/1866749/,"In a randomized controlled trial we compared the clinical outcome of acute stroke patients, 110 of whom were allocated to treatment in a stroke unit and 110 to treatment in general medical wards. No significant difference existed between these groups with regard to sex, age, marital status, medical history, or functional impairment on admission. Outcome was measured at 6 and 52 weeks after the stroke by the proportion of patients at home, the proportion of patients in an institution, the mortality, and the functional state. After 6 weeks 56.4% of the patients randomized to the stroke unit and 32.7% of the patients randomized to the general medical wards were at home (p = 0.0004), and after 52 weeks 62.7% and 44.6%, respectively, were at home (p = 0.002). After 6 weeks 36.3% of the patients from the stroke unit and 50.0% from the general medical wards were in an institution (p = 0.02); after 52 weeks 12.7% and 22.7%, respectively, were institutionalized (p = 0.016). After 6 weeks mortality was 7.3% for the stroke unit group and 17.3% for the general medical wards group (p = 0.027). After 52 weeks mortality was 24.6% for the stroke unit group and 32.7% for the general medical wards group (difference not significant). Functional state was significantly better for patients treated in the stroke unit after both 6 and 52 weeks. We conclude that care of patients with acute stroke in a stroke unit improves clinical outcome compared with treatment in general medical wards."
21,FGD5 amplification in breast cancer patients is associated with tumour proliferation and a poorer prognosis.,28124285,Breast cancer research and treatment. Volume: 162 Issue: 2 04 2017,2017,http://www.ncbi.nlm.nih.gov/pubmed/28124285/,"Proliferation is a hallmark of cancer. Using a combined genomic approach, FGD5 amplification has been identified as a driver of proliferation in Luminal breast cancer. We aimed to describe FGD5 copy number change in breast cancer, and to assess a possible association with tumour proliferation and prognosis."
22,Maternal Sick Leave Due to Psychiatric Disorders Following the Birth of a Child With Special Health Care Needs.,25911588,Journal of pediatric psychology. Volume: 40 Issue: 8 Sep 2015,2015,http://www.ncbi.nlm.nih.gov/pubmed/25911588/,Child-related stress following the birth of a child with special health care needs (SHCN) can take a toll on parental health. This study examined how the risk of sick leave due to psychiatric disorders (PD) among mothers of children with SHCN compares with that of mothers of children without SHCN during early motherhood.
23,Interference of the antimicrobial peptide lactoferricin B with the action of various antibiotics against Escherichia coli and Staphylococcus aureus.,10447328,Scandinavian journal of infectious diseases. Volume: 31 Issue: 2 1999,1999,http://www.ncbi.nlm.nih.gov/pubmed/10447328/,"The antimicrobial peptide, lactoferricin, can be generated upon gastric pepsin cleavage of lactoferrin. We have examined the interaction of lactoferricin of bovine origin, Lf-cin B, with the antibiotics penicillin G, vancomycin, gentamicin, colistin, D-cycloserine and erythromycin against E. coli ATCC 25922 and Staphylococcus aureus ATCC 25923. We demonstrated synergism between Lf-cin B and erythromycin against E. coli, and partial synergism between Lf-cin B and penicillin G, vancomycin and gentamicin against E. coli. Only penicillin G acted in partial synergism with Lf-cin B against S. aureus. Lf-cin B antagonized vancomycin and gentamicin against S. aureus in low concentration. We conclude that Lf-cin B may facilitate the uptake of antibiotics across the cell envelope."
24,Characteristics of patients frequently subjected to pharmacological and mechanical restraint--a register study in three Norwegian acute psychiatric wards.,24230996,Psychiatry research. Volume: 215 Issue: 1 Jan 30 2014,2014,http://www.ncbi.nlm.nih.gov/pubmed/24230996/,"This retrospective study from three catchment-area-based acute psychiatric wards showed that of all the pharmacologically and mechanically restrained patients (n=373) 34 (9.1%) had been frequently restrained (6 or more times). These patients accounted for 39.2% of all restraint episodes during the two-year study period. Adjusted binary logistic regression analyses showed that the odds for being frequently restrained were 91% lower among patients above 50 years compared to those aged 18-29 years; a threefold increase (OR=3.1) for those admitted 3 times or more compared to patients with only one stay; and, finally, a threefold increase (OR=3.1) if the length of stay was 16 days or more compared to those admitted for 0-4 days. Among frequently restrained patients, males (n=15) had significantly longer stays than women (n=19), and 8 of the females had a diagnosis of personality disorder, compared to none among males. Our study showed that being frequently restrained was associated with long inpatient stay, many admissions and young age. Teasing out patient characteristics associated with the risk of being frequently restraint may contribute to reduce use of restraint by developing alternative interventions for these patients. "
25,The effect of trichlorfon and other organophosphates on prenatal brain development in the guinea pig.,8065512,Neurochemical research. Volume: 19 Issue: 5 May 1994,1994,http://www.ncbi.nlm.nih.gov/pubmed/8065512/,"The organophosphates trichlorfon, dichlorvos, dimethoate, soman, triortho-cresyl phosphate (TOCP), and the diethoxy-analogue of trichlorfon (O,O-diethyl 2,2,2-trichloro-1-hydroxyethylphosphonate, ethyl-trichlorfon), were administered to guinea pigs between day 42 and 46 of gestation. When the offsprings were examined at birth, there was a severe reduction in brain weight in the case of trichlorfon and dichlorvos, but not after treatment with the other organophosphates. The reduction in weight was most pronounced for cerebellum, medulla oblongata, thalamus/hypothalamus and quadrigemina. The effect was less marked for cerebral cortex and hippocampus. Since soman, a potent anticholinesterase, and TOCP, an inhibitor of neuropathy target esterase, did not show any effects, this excludes that the brain hypoplasia can be caused by inhibition of these two enzymes. Further, the lack of effect with ethyl-trichlorfon has shed some light on the part of the trichlorfon molecule which could be involved in the formation of the hypoplasia. It is suggested that alkylation of DNA may be involved in the development of the lesion. The possible consequences for a teratogenic effect of trichlorfon and dichlorvos on humans are discussed."
26,Incidence and outcome of atrial fibrillation in stable symptomatic coronary disease.,16798662,Scandinavian cardiovascular journal : SCJ. Volume: 40 Issue: 3 Jun 2006,2006,http://www.ncbi.nlm.nih.gov/pubmed/16798662/,"Evaluate the prevalence, incidence and impact on prognosis of existing and new onset atrial fibrillation (AF) in patients with stable, symptomatic coronary artery disease."
27,Validation of a quality of life questionnaire for use in clinical trials for treatment of patients with inoperable lung cancer.,3289946,European journal of cancer & clinical oncology. Volume: 24 Issue: 4 Apr 1988,1988,http://www.ncbi.nlm.nih.gov/pubmed/3289946/,"In order to assess the quality of life of patients with inoperable lung cancer, a questionnaire for patient self-administration with 29 variables was designed including the following subjects: psychosocial well-being, medical side-effects, activities of daily living and physical performance. The questionnaire was validated by using a semistructured interview. Thirty-one patients treated for inoperable lung cancer with either radiotherapy (42%), chemotherapy (42%) or a combination of these two treatment modalities (16%) were included in the study. The multitrait-multimethod matrix (MTMM) was used in the analysis of the construct validity. The present validation study showed a high degree of validity for the majority of the items studied. Some of the items showed a low degree of validity, and are subject to future analysis in large scale studies."
28,Proteomic Investigation of the Response of Enterococcus faecalis V583 when Cultivated in Urine.,25915650,PloS one. Volume: 10 Issue: 4 2015,2015,http://www.ncbi.nlm.nih.gov/pubmed/25915650/,"Enterococcus faecalis is a robust bacterium, which is able to survive in and adapt to hostile environments such as the urinary tract and bladder. In this label-free quantitative proteomic study based on MaxQuant LFQ algorithms, we identified 127 proteins present in the secretome of the clinical vancomycin-resistant isolate E. faecalis V583 and we compared proteins secreted in the initial phase of cultivation in urine with the secretome during cultivation in standard laboratory medium, 2xYT. Of the 54 identified proteins predicted to be secreted, six were exclusively found after cultivation in urine including the virulence factor EfaA (""endocarditis specific antigen"") and its homologue EF0577 (""adhesion lipoprotein""). These two proteins are both involved in manganese transport, known to be an important determinant of colonization and infection, and may additionally function as adhesins. Other detected urine-specific proteins are involved in peptide transport (EF0063 and EF3106) and protease inhibition (EF3054). In addition, we found an uncharacterized protein (EF0764), which had not previously been linked to the adaptation of V583 to a urine environment, and which is unique to E. faecalis. Proteins found in both environments included a histone-like protein, EF1550, that was up-regulated during cultivation in urine and that has a homologue in streptococci (HlpA) known to be involved in bacterial adhesion to host cells. Up-regulated secreted proteins included autolysins. These results from secretome analyses are largely compatible with previously published data from transcriptomics studies. All in all, the present data indicate that transport, in particular metal transport, adhesion, cell wall remodelling and the unknown function carried out by the unique EF0764 are important for enterococcal adaptation to the urine environment. These results provide a basis for a more targeted exploration of novel proteins involved in the adaptability and pathogenicity of E. faecalis. "
29,Enhanced gene expression from retroviral vectors.,18298815,BMC biotechnology. Volume: 8 Feb 25 2008,2008,http://www.ncbi.nlm.nih.gov/pubmed/18298815/,"Retroviruses are widely used to transfer genes to mammalian cells efficiently and stably. However, genetic elements required for high-level gene expression are incompatible with standard systems. The retroviral RNA genome is produced by cellular transcription and post-transcriptional processing within packaging cells: Introns present in the retroviral genomic transcript are removed by splicing, while polyadenylation signals lead to the production of ineffective truncated genomes. Furthermore strong enhancer/promoters within the retroviral payload lead to detrimental competition with the retroviral enhancer/promoter."
30,Seasonal dynamics of Atlantic herring (Clupea harengus L.) populations spawning in the vicinity of marginal habitats.,25372461,PloS one. Volume: 9 Issue: 11 2014,2014,http://www.ncbi.nlm.nih.gov/pubmed/25372461/,"Gillnet sampling and analyses of otolith shape, vertebral count and growth indicated the presence of three putative Atlantic herring (Clupea harengus L.) populations mixing together over the spawning season February-June inside and outside an inland brackish water lake (Landvikvannet) in southern Norway. Peak spawning of oceanic Norwegian spring spawners and coastal Skagerrak spring spawners occurred in March-April with small proportions of spawners entering the lake. In comparison, spawning of Landvik herring peaked in May-June with high proportions found inside the lake, which could be explained by local adaptations to the environmental conditions and seasonal changes of this marginal habitat. The 1.85 km(2) lake was characterized by oxygen depletion occurring between 2.5 and 5 m depth between March and June. This was followed by changes in salinity from 1-7‰ in the 0-1 m surface layer to levels of 20-25‰ deeper than 10 m. In comparison, outside the 3 km long narrow channel connecting the lake with the neighboring fjord, no anoxic conditions were found. Here salinity in the surface layer increased over the season from 10 to 25‰, whereas deeper than 5 m it was stable at around 35‰. Temperature at 0-5 m depth increased significantly over the season in both habitats, from 7 to 14 °C outside and 5 to 17 °C inside the lake. Despite differences in peak spawning and utilization of the lake habitat between the three putative populations, there was an apparent temporal and spatial overlap in spawning stages suggesting potential interbreeding in accordance with the metapopulation concept."
31,Expression of an estrogen-regulated variant transcript of the peroxisomal branched chain fatty acid oxidase ACOX2 in breast carcinomas.,26183823,BMC cancer. Volume: 15 Jul 17 2015,2015,http://www.ncbi.nlm.nih.gov/pubmed/26183823/,"Alternate transcripts from a single gene locus greatly enhance the combinatorial flexibility of the human transcriptome. Different patterns of exon usage have been observed when comparing normal tissue to cancers, suggesting that variant transcripts may play a role in the tumor phenotype."
32,Placental glucose transfer: a human in vivo study.,25680194,PloS one. Volume: 10 Issue: 2 2015,2015,http://www.ncbi.nlm.nih.gov/pubmed/25680194/,"The placental transfer of nutrients is influenced by maternal metabolic state, placenta function and fetal demands. Human in vivo studies of this interplay are scarce and challenging. We aimed to establish a method to study placental nutrient transfer in humans. Focusing on glucose, we tested a hypothesis that maternal glucose concentrations and uteroplacental arterio-venous difference (reflecting maternal supply) determines the fetal venous-arterial glucose difference (reflecting fetal consumption)."
33,Modification of extracorporeal photopheresis technology with porphyrin precursors. Comparison between 8-methoxypsoralen and hexaminolevulinate in killing human T-cell lymphoma cell lines in vitro.,24915603,Biochimica et biophysica acta. Volume: 1840 Issue: 9 Sep 2014,2014,http://www.ncbi.nlm.nih.gov/pubmed/24915603/,"Extracorporeal photopheresis that exposes isolated white blood cells to 8-methoxypsoralen (8-MOP) and ultraviolet-A (UV-A) light is used for the management of cutaneous T-cell lymphoma and graft-versus-host disease. 8-MOP binds to DNA of both tumor and normal cells, thus increasing the risk of carcinogenesis of normal cells; and also kills both tumor and normal cells with no selectivity after UV-A irradiation. Hexaminolevulinate (HAL)-induced protoporphyrin-IX is a potent photosensitizer that localizes at membranous structures outside of the nucleus of a cell. HAL-mediated photodynamic therapy selectively destroys activated/transformed lymphocytes and induces systemic anti-tumor immunity. The aim of the present study was to explore the possibility of using HAL instead of 8-MOP to kill cells after UV-A exposure."
34,Beyond the checklist: understanding rural health vulnerability in a South African context.,27914191,Global health action. Volume: 9 2016,2016,http://www.ncbi.nlm.nih.gov/pubmed/27914191/,"Vulnerability in the past has sometimes been measured and understood in terms of checklists or common understanding. It is argued here that vulnerability is a more complex issue than this. Although checklists of vulnerable groups are important, they do not capture the essence and dynamics of vulnerability."
35,Issues in nurses' practical skill development in the clinical setting.,10575833,Journal of nursing care quality. Volume: 14 Issue: 1 Oct 1999,1999,http://www.ncbi.nlm.nih.gov/pubmed/10575833/,"Generally, it is assumed that nurses are reasonably skilled in the performance of practical nursing actions by the end of their first year of practice. This article contests this assumption based on empirical data from a longitudinal study of newly graduated nurses. Three issues are discussed: the notion that experience (per se) can guarantee a positive development in practical skill performance; the failure to relate to inherent complexities in practical skill performance during evaluation of skill; and the significance of acknowledging differences in skill complexity during skill development. A reinstated focus on practical skill in nursing education and collaboration between education and practice is needed to secure quality in a nurse's actual performance."
